Year, Month,  Highest, meanHighHighWater, meanHighWater, meanSeaLevel, MTL, meanLowWater, meanLowLowWater, DTL, GT, MN, DHQ, DLQ, HWI, LWI, Lowest, Inferred 
1950,2,0.339,,-0.143,-0.268,-0.271,-0.399,,,,0.256,,,10.330,3.830,-1.033,0
1950,3,0.247,,-0.259,-0.384,-0.390,-0.521,,,,0.262,,,10.150,4.280,-1.002,0
1950,4,0.217,,-0.103,-0.228,-0.234,-0.365,,,,0.262,,,10.300,4.110,-0.880,0
1950,5,0.247,,-0.027,-0.158,-0.167,-0.307,,,,0.280,,,10.510,4.120,-0.728,0
1950,6,0.278,,-0.036,-0.170,-0.176,-0.317,,,,0.280,,,10.580,4.140,-0.576,0
1950,7,0.278,,-0.015,-0.146,-0.152,-0.289,,,,0.274,,,10.360,4.260,-0.576,0
1950,8,0.308,,0.034,-0.100,-0.103,-0.240,,,,0.274,,,10.440,4.120,-0.515,0
1950,9,0.613,,0.083,-0.039,-0.045,-0.170,,,,0.253,,,10.320,3.990,-0.393,0
1950,10,0.369,,0.058,-0.064,-0.067,-0.192,,,,0.250,,,10.230,4.160,-0.545,0
1950,11,0.979,,0.022,-0.094,-0.100,-0.222,,,,0.244,,,10.210,4.270,-0.880,0
1950,12,0.430,,-0.067,-0.189,-0.192,-0.320,,,,0.253,,,10.250,4.320,-0.941,0
1951,1,0.308,,-0.143,-0.271,-0.274,-0.405,,,,0.262,,,10.450,4.200,-0.941,0
1951,2,0.308,,-0.125,-0.256,-0.259,-0.390,,,,0.265,,,10.390,4.160,-0.911,0
1951,3,0.796,,0.046,-0.085,-0.088,-0.222,,,,0.268,,,10.190,4.120,-0.789,0
